iter	Passed	Remaining
0	0	87
1	1	77
2	2	75
3	2	68
4	3	67
5	4	65
6	4	64
7	5	63
8	6	62
9	6	62
10	7	60
11	8	60
12	8	59
13	9	59
14	10	58
15	10	57
16	11	57
17	12	57
18	13	57
19	14	57
20	14	56
21	15	55
22	16	54
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	29	42
41	29	40
42	30	40
43	30	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	29
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
